#{"t_start": 1584126944.1715174, "env_id": null}
r,l,t
-0.761905,11,130.465954
1.309524,14,130.81943
-0.809524,9,131.060869
1.142857,7,131.225663
-0.833333,8,131.411761
1.214286,10,131.612231
-0.761905,11,131.808993
1.309524,14,132.164296
1.190476,9,132.384679
-0.928571,4,132.49595
-0.761905,11,132.706615
1.238095,11,132.924068
1.071429,4,132.996343
1.357143,16,133.354803
-0.809524,9,133.568359
-0.738095,12,133.879874
1.142857,7,134.09076
1.119048,6,134.238395
1.238095,11,134.553406
-0.833333,8,134.77002
1.166667,8,134.949625
1.119048,6,135.098793
1.238095,11,135.385166
1.261905,12,135.690214
1.238095,11,135.970102
1.285714,13,136.32303
1.119048,6,137.948721
1.119048,6,138.123521
1.190476,9,138.369389
1.071429,4,138.469755
1.214286,10,138.74807
-0.833333,8,139.016854
1.166667,8,139.233977
1.071429,4,139.32653
1.142857,7,139.481772
-9.809524,9,139.714605
-0.761905,11,139.952897
1.119048,6,140.08019
1.142857,7,140.191095
-0.857143,7,140.334034
1.238095,11,140.5233
-9.761905,11,140.698151
-0.904762,5,140.790811
1.214286,10,140.964361
1.190476,9,141.169758
1.190476,9,141.373567
-9.642857,16,141.861482
-0.690476,14,142.234237
1.261905,12,142.48136
-0.714286,13,142.851192
-0.619048,17,143.266491
-0.833333,8,143.474296
1.119048,6,143.612066
-9.690476,14,143.922647
1.190476,9,145.431479
1.119048,6,145.557696
1.142857,7,145.751345
-0.761905,11,146.120358
1.238095,11,146.607413
1.166667,8,146.797384
-9.666667,15,147.197508
1.261905,12,147.440718
1.190476,9,147.69474
1.238095,11,148.018279
-9.666667,15,148.35794
1.190476,9,148.591292
1.142857,7,148.774879
-0.761905,11,149.07054
-0.714286,13,149.365868
-9.809524,9,149.596741
-0.833333,8,149.785923
1.190476,9,149.988256
-0.619048,17,150.430209
-0.833333,8,150.670985
-0.904762,5,150.80424
-0.809524,9,151.093763
-0.761905,11,151.503789
1.309524,14,151.929168
-0.857143,7,152.173458
1.309524,14,153.92702
1.214286,10,154.208678
1.261905,12,154.492213
1.095238,5,154.664917
-9.666667,15,155.054278
1.095238,5,155.209219
-9.761905,11,155.482161
-9.761905,11,155.727899
1.238095,11,156.074644
1.214286,10,156.494684
-0.880952,6,156.734156
-9.619048,17,157.234837
1.261905,12,157.574409
-0.857143,7,157.778259
1.238095,11,158.050057
-0.714286,13,158.382655
1.261905,12,158.637459
-9.690476,14,158.991834
1.309524,14,159.337605
1.261905,12,159.594003
1.071429,4,159.720316
1.166667,8,159.922162
1.238095,11,160.156234
1.285714,13,160.448689
-9.666667,15,162.548556
-9.714286,13,162.917785
-0.714286,13,163.320075
-0.761905,11,163.650846
1.214286,10,163.92293
-9.714286,13,164.242438
1.166667,8,164.450985
-9.761905,11,164.711001
-0.738095,12,165.029372
1.238095,11,165.264649
1.166667,8,165.465599
1.142857,7,165.63434
-0.690476,14,166.077831
-0.666667,15,166.374904
1.119048,6,166.479089
1.119048,6,166.585963
-0.761905,11,166.781943
-9.785714,10,166.927254
1.333333,15,167.16321
-0.857143,7,167.269729
1.238095,11,167.446252
-9.714286,13,167.636773
1.095238,5,167.741132
1.166667,8,167.868507
1.166667,8,169.100556
-0.714286,13,169.314
1.142857,7,169.40743
1.380952,17,169.684218
1.166667,8,169.849113
1.214286,10,170.064049
1.214286,10,170.255309
-9.880952,6,170.35015
1.142857,7,170.453205
1.238095,11,170.62995
